iso3,source,scenario,pop_year,first_pop_total,second_pop_total,pop_total_abs_change,pop_total_pct_change,first_pop_inside_all,second_pop_inside_all,pop_inside_all_abs_change,pop_inside_all_pct_change,first_pop_inside_or_10km_all,second_pop_inside_or_10km_all,pop_inside_or_10km_all_abs_change,pop_inside_or_10km_all_pct_change,first_area_inside_all,second_area_inside_all,area_inside_all_abs_change,area_inside_all_pct_change,first_area_inside_or_10km_all,second_area_inside_or_10km_all,area_inside_or_10km_all_abs_change,area_inside_or_10km_all_pct_change,first_count_strict,second_count_strict,first_count_nonstrict,second_count_nonstrict,first_count_unknowncat,second_count_unknowncat
BGD,WP,Confirmed_2000,2000,99410454.9337481,116745364,17334909.066251904,17.437712238420715,577879.4316719184,646081.1533203125,68201.72164839413,11.802067682366404,4580685.577263016,4669998.6572265625,89313.07996354625,1.9497753874849293,3885.3433258591845,4073.4525570869446,188.10923122776012,4.84150859914452,12552.147842681356,11658.630398273468,-893.5174444078875,-7.118442641104335,3,3,2,2,3,2
BGD,WP,Confirmed_2020,2020,135448343.01568332,158489122,23040778.984316677,17.010749981377643,1090493.023699823,1245973.9510498047,155480.92734998162,14.257856214656575,13953878.869360672,14887190.419799805,933311.5504391324,6.688545594934594,3478.9702105013694,3808.5256197452545,329.55540924388515,9.472786178194712,19967.12708403111,18477.880951166153,-1489.2461328649588,-7.458489779713961,6,6,7,7,3,2
BGD,WP,Unknown_Year,2020,135448343.0156833,158489122,23040778.984316707,17.010749981377668,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
COG,WP,Confirmed_2000,2000,4007232.412397792,4636035.38671875,628802.9743209579,15.691702142744036,115949.92204345716,135384.95584869385,19435.033805236686,16.761575568763714,1447270.349930124,1405969.5215530396,-41300.82837708434,-2.853705140789929,31170.267053094154,30493.77803748846,-676.4890156056936,-2.1703022770173575,56653.42237325999,50134.48220008612,-6518.940173173876,-11.50670144907392,3,2,3,3,2,2
COG,WP,Confirmed_2020,2020,3422631.7201310047,3924157.87890625,501526.1587752453,14.653231775577915,823285.6834759195,959593.8215003014,136308.13802438183,16.556602496582673,2416540.5295898505,2460373.2644171715,43832.73482732102,1.8138630116317798,117363.3779185795,116876.3284996748,-487.0494189047022,-0.4149926727932041,180173.41414833954,165416.27042281628,-14757.14372552326,-8.190522333874117,5,2,3,3,8,6
COG,WP,Unknown_Year,2020,3422631.720131004,3924157.87890625,501526.15877524577,14.653231775577929,210.2819841190268,0,-210.2819841190268,-100,8913.274114710155,0,-8913.274114710155,-100,62.8296170336249,0,-62.8296170336249,-100,852.0504385695446,0,-852.0504385695446,-100,0,0,0,0,1,0
KGZ,WP,Confirmed_2000,2000,4539772.847637253,5035247.03125,495474.1836127471,10.914074343402866,43799.51271590982,52191.07443237305,8391.561716463228,19.15902985243729,674532.5582296606,747805.6397151947,73273.08148553409,10.862793884678066,4613.54482739714,5315.495086669922,701.9502592727822,15.214987293594955,36551.241135506956,34107.43669629097,-2443.8044392159863,-6.685968419392474,7,5,5,5,1,1
KGZ,WP,Confirmed_2020,2020,5125753.030759581,5587947.546875,462194.51611541864,9.017104674021457,44247.09609646089,51885.60174560547,7638.505649144579,17.26329256160055,739020.8359700855,802224.0049285889,63203.168958503404,8.55228511595873,4814.860354990036,5315.495086669922,500.6347316798856,10.39769992832786,39417.03347973956,34107.43669629097,-5309.596783448593,-13.470310458999245,7,5,5,5,2,1
KGZ,WP,Unknown_Year,2020,5125753.03075958,5587947.546875,462194.51611541957,9.017104674021475,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
SEN,WP,Confirmed_2000,2000,7791050.010048311,9067753.203125,1276703.1930766888,16.386792427594393,204913.0538201561,243060.74956321716,38147.69574306105,18.616527855049068,1507851.8140101433,1307300.2747774124,-200551.53923273087,-13.300480681809344,21794.24665681765,21703.18938088417,-91.0572759334791,-0.41780419102026944,40706.23961742286,36804.30399298668,-3901.9356244361843,-9.585595872054217,2,2,2,2,4,3
SEN,WP,Confirmed_2020,2020,13836649.902335355,16104865.875,2268215.972664645,16.39281176205676,488168.9297877078,590580.9998168945,102412.07002918673,20.978817737073744,4875186.9448079895,5235498.412807465,360311.4679994751,7.390721054978252,23048.228562730874,22746.755006194115,-301.47355653675913,-1.3080118314352527,47255.44404068755,41707.01500928402,-5548.429031403532,-11.74135413186735,2,2,9,6,4,3
SEN,WP,Unknown_Year,2020,13836649.902335355,16104865.875,2268215.972664645,16.39281176205676,571257.2229684022,664170.7705078125,92913.5475394103,16.264747963554342,4826859.625519017,4933849.111572266,106989.48605324887,2.2165443860767886,26995.916845435255,26995.85048675537,-0.06635867988370592,-2.458100618091307e-4,87658.34453985898,80175.08285713196,-7483.261682727025,-8.536850338674059,0,0,1,1,20,20
SLE,WP,Confirmed_2000,2000,3859596.8099296545,4492047.625,632450.8150703455,16.38644776167365,40683.41573646506,45890.003544032574,5206.587807567514,12.797813834743437,913926.8214348448,1003789.0976602435,89862.27622539876,9.83254612052166,2569.6928736934406,2470.867897460237,-98.82497623320342,-3.8457894032745426,12343.275506275164,9807.78132862784,-2535.4941776473242,-20.541501940536865,4,4,2,1,5,5
SLE,WP,Confirmed_2020,2020,5754375.564105089,6712969.5,958593.9358949112,16.65852228823007,85660.34242871428,97452.69453811646,11792.35210940217,13.766407855788872,1731536.1654900152,1869135.4259986877,137599.26050867257,7.946658190054767,3481.0381430314383,3384.2813329696655,-96.75681006177274,-2.77953892161356,16904.61049827722,13653.352692484856,-3251.257805792364,-19.232964912878092,4,4,3,2,7,7
SLE,WP,Unknown_Year,2020,5754375.564105089,6712969.5,958593.9358949112,16.65852228823007,35911.67880541086,41668.1201171875,5756.441311776638,16.029440848388596,852832.3016036657,867116.4794921875,14284.177888521808,1.6749105142548943,510.37000548187643,510.2490997314453,-0.1209057504311204,-0.023689822899557886,12315.716353949489,10655.626541137695,-1660.0898128117933,-13.479441756381668,0,0,0,0,13,13
STP,WP,Confirmed_2000,2000,105887.33282566722,124894.5107421875,19007.177916520275,17.95037934123213,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
STP,WP,Confirmed_2020,2020,169942.03067059699,200432.3203125,30490.289641903015,17.941582504097017,14960.213781756775,17408.364013671875,2448.1502319151004,16.364406736623618,98761.35517402535,140680.02807617188,41918.67290214653,42.444408370341314,311.8703147041703,313.51284408569336,1.6425293815230475,0.5266706397116043,917.5931758829083,1192.8100776672363,275.216901784328,29.993346617853195,0,0,0,0,1,1
STP,WP,Unknown_Year,2020,169942.030670597,200432.3203125,30490.289641902986,17.941582504096996,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
TUN,WP,Confirmed_2000,2000,8143927.015044515,9465858.84375,1321931.828705485,16.232117825509015,55614.16589250604,65901.13127851486,10286.965386008822,18.497023592679614,2092513.1237244261,2402656.892997265,310143.7692728387,14.821592550914064,7452.865712866652,7456.40932777524,3.543614908588097,0.04754701137939985,25701.678314585522,23916.200357228518,-1785.477957357005,-6.946931385191911,1,1,0,0,7,7
TUN,WP,Confirmed_2020,2020,10032403.603471603,11658073.078125,1625669.4746533968,16.20418734041812,109249.51233719471,130112.03857421875,20862.526237024038,19.09621909581857,5745023.514856924,6444624.120605469,699600.6057485444,12.177506392085977,11507.223046631952,11547.07104998827,39.84800335631735,0.3462868773364088,49750.318031145376,47061.94617205858,-2688.371859086794,-5.403727987032731,1,1,0,0,18,18
TUN,WP,Unknown_Year,2020,10032403.603471603,11658073.078125,1625669.4746533968,16.20418734041812,1471.5625597722828,1690.884181022644,219.3216212503612,14.903995742070263,209541.67213622655,240817.44586467743,31275.773728450877,14.925801349966308,83.01706357207149,82.85458028316498,-0.16248328890651464,-0.19572276097847563,2123.4583264655707,2028.043466925621,-95.4148595399497,-4.493370948266487,0,0,0,0,1,1
UGA,WP,Confirmed_2000,2000,19786284.607926715,22946398.5,3160113.892073285,15.971234391358601,1051129.6500508657,1256081.748046875,204952.09799600928,19.498270074114203,16842565.366285738,18438864.71875,1596299.3524642624,9.477768485670373,26735.500809082594,27603.987419128418,868.4866100458239,3.2484396542546956,158556.75999276925,146955.8099899292,-11600.95000284005,-7.316591234185848,15,13,4,2,269,260
UGA,WP,Confirmed_2020,2020,36210969.64975068,41974556,5763586.35024932,15.916686037400835,2110475.164740081,2507153.6044921875,396678.43975210655,18.7956933291352,31214643.140692472,34141882.408203125,2927239.2675106525,9.37777585448223,29261.591230964375,30374.116916656494,1112.5256856921187,3.8019999558836473,163297.83562332543,152058.8515815735,-11238.984041751944,-6.882506433016416,15,13,7,5,272,262
UGA,WP,Unknown_Year,2020,36210969.64975067,41974556,5763586.350249328,15.916686037400858,73432.31228423864,85511.04234313965,12078.730058901012,16.44879438379549,1824443.9196419814,1800146.5306243896,-24297.38901759172,-1.3317695740606652,1061.732463764958,1061.5023484826088,-0.23011528234928846,-0.021673565630016416,7993.148930590413,6771.028715670109,-1222.1202149203045,-15.28959644731695,2,2,1,1,5,5
VUT,WP,Confirmed_2000,2000,114433.10980795384,159565.70361328125,45132.593805327415,39.44015318736921,153.1154434023854,203.4607172012329,50.3452737988475,32.88059824673647,16681.667963612577,20804.46727848053,4122.7993148679525,24.71455087021838,52.902332663375375,53.67190503701568,0.7695723736403011,1.4547040459202303,1557.328611361462,1442.6388697586954,-114.68974160276662,-7.364517723879838,1,1,1,1,3,3
VUT,WP,Confirmed_2020,2020,188278.8703231819,263039.2978515625,74760.42752838059,39.70728494389935,256.53251554665303,376.5470609664917,120.01454541983867,46.78336590747414,30736.923700421,41073.76324748993,10336.839547068928,33.63003938786283,52.902332663375375,53.91226502880454,1.0099323654291652,1.909050725334741,1664.6896222887306,1565.2461731098592,-99.44344917887133,-5.9736931045530035,1,1,1,1,3,3
