system:index,area_nonstrict,area_strict,area_total_pa,area_unknown,count_nonstrict,count_strict,count_total,count_unknown,iso3,nat_pop_gh_00,nat_pop_gh_20,nat_pop_wp_00,nat_pop_wp_20,.geo
41,0.0,5279.7893922969,6010.947181535367,731.1577892384694,0,1,4,3,MRT,444178.30786049046,741583.391861524,342784.5265724101,610698.471379158,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.0,0.0,0.0,0.0,0,0,0,0,FSM,5387.453536738348,6137.748289833935,5067.707205915963,5637.870849042073,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.0,0.0,2623.380524229186,2623.380524229186,0,0,61,61,MDA,995187.6901488141,722877.1071802038,546935.3442272911,503220.7398837124,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,36414.09925072921,252053.7689821707,289177.32469473185,709.4564618319273,34,67,108,7,MNG,583202.9051518218,781776.7130805445,326300.2837199785,435032.63297898165,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.0,7840.196051336589,16998.523543606185,9158.327492269595,0,10,139,129,MAR,5448318.929340988,7018438.62898827,3854109.969735503,4886218.641111729,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,168427.47945140864,33703.95826737279,221382.47000759415,19251.032288812756,51,10,62,1,MOZ,2988631.974195043,5230167.681901707,2256386.809133942,4231616.58434832,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,31902.397472732635,10850.999795713202,43380.40134101991,627.0040725740732,32,11,50,7,MMR,7565034.979799208,8837276.896253942,8427617.459668478,6521498.99975929,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,23277.60185862233,10726.60417035479,34259.695297249375,255.489268272224,22,10,36,4,NPL,4431540.990818661,5283879.365631378,3183167.0994041096,5601195.267302938,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,17947.439017649063,7386.566589839489,26181.1801953076,847.1745878190388,64,10,79,5,NIC,837545.7972899814,1102602.7197162644,648209.5558156073,944960.2430241449,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,180955.57362778255,15024.210766110817,200234.12099358233,4254.336599688977,6,4,16,6,NER,1910537.9304439789,4015538.572087493,1457088.0097425838,3282562.752757237,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,6623.520362941863,20809.854331942734,118476.53860416525,91043.16390928064,9,9,960,942,NGA,1.9829758607966233E7,3.36491574458237E7,1.6031656487868372E7,2.9705966826631546E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,31287.367946535625,9506.617144759275,88088.45379094509,47294.46869965017,56,6,139,77,PAK,2.867361061886586E7,4.2135001953709394E7,1.9443807029369645E7,3.1545741856373314E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,806.1360566575446,0.0,16727.047363607973,15920.911306950427,2,0,43,41,PNG,830422.8162840075,1485101.253921744,702063.9288946129,1254475.0334805646,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,9694.553141901553,12469.120878335294,44328.462041530314,22164.78802129346,61,37,227,129,PHL,1.1876987354405891E7,1.725019821195291E7,1.02228367131524E7,1.3938961862351706E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1045.2118862722582,987.3743064567583,2100.170302795313,67.58411006629467,2,2,5,1,RWA,1288014.8768468664,2093665.864048102,1066031.4315716513,1856103.8145782694,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.0,0.0,312.21551436485333,312.21551436485333,0,0,2,2,STP,21741.098210637134,32782.65177018628,16787.06988163926,26819.513612572086,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,14502.458726323017,8789.87820440785,51147.68297010694,27855.346039376054,18,6,124,100,SEN,1591915.8332490365,2698789.373738755,1252243.505477125,2222898.378402655,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,223.95999931916595,2020.8363368384248,4044.726642636151,1799.9303064785606,2,5,36,29,SLE,730798.9398449005,1316471.7016971458,617820.1637121127,922660.2600663127,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,15.222862005233765,0.0,198.2322045375612,183.00934253232742,2,0,20,18,SLB,51711.21146760514,86258.2545794323,39201.68932300834,67464.04909020147,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.0,0.0,0.0,0.0,0,0,0,0,SOM,1416966.427423335,2669776.0286414595,904165.9202550169,1518537.6369839285,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,30706.7143820607,51330.81619994316,96907.93842569423,14870.407843690366,13,7,21,1,SSD,979968.7020823566,1697603.3457146923,854214.5375692055,2351124.58077143,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.0,8294.418043591828,8736.307920589692,441.88987699786526,0,1,2,1,SDN,4320847.753638482,7286879.126691478,3415318.179742917,5791866.79151609,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.0,0.0,0.0,0.0,0,0,0,0,SYR,3200996.95258537,4072927.8905674126,2232383.9931538417,3687223.3588940934,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,1532.267685921783,24001.743741914805,29682.00030793143,4147.988880094841,14,6,21,1,TJK,1283455.0446434948,1950021.2354886956,829921.0149649789,1272822.4414021731,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,82973.08028144264,43694.41443869845,357205.7207842753,230538.22606413427,69,21,787,697,TZA,5515291.508347372,9900996.740545813,4480971.252432836,7735017.029464081,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,703.3134404501639,0.0,2363.0418581029367,1659.7284176527726,1,0,41,40,TLS,139403.57646410647,206199.53077417426,112279.50609121216,187909.70076447882,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,796.8248281086921,3229.1762048959877,7105.130317455854,3079.1292844511718,10,5,69,54,TGO,802692.7614949755,1353365.3033423757,623323.1047691527,1183847.064500245,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.0,165.5844627916813,11677.20112120344,11511.616658411758,0,1,125,124,TUN,1943046.5302992426,2388467.649322724,1301443.2471702981,1602787.7373926623,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,5067.496330272961,19263.297289047332,35614.90246620675,11284.108846886455,12,21,700,667,UGA,3835563.369900913,7100137.370569809,3165895.46658032,5793796.192849547,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,9435.688376387632,9546.360605557102,65099.18188460459,46117.13290265985,1020,227,1645,398,UKR,1.1709090355786452E7,1.0497403611296633E7,6644775.684471658,5972516.9529309,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,5999.490778662264,13453.016688788735,20018.783839656466,566.276372205466,13,17,33,3,UZB,5237694.9131983435,7033702.958952483,3290166.1873870874,4576248.562747208,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,50.10492031968692,0.11974962055683136,452.14836145835176,401.923691518108,2,1,12,9,VUT,23470.530500835142,37927.73363141378,18529.50622473425,30360.939587907313,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,6904.951713659146,9063.260168503108,23768.151806061644,7799.939923899388,56,26,148,66,VNM,1.2799713473532684E7,1.5648460346114364E7,1.035552543060759E7,1.318385262813446E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.0,0.0,2765.15935618572,2765.15935618572,0,0,1,1,YEM,3050255.7984556663,5266488.363236534,2392832.9877068223,4144884.520231485,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,168560.21029754067,60526.9722990656,289511.60679105273,60424.42419444658,36,19,526,471,ZMB,1626345.9536329985,3115712.2314569023,1334226.312601841,2573271.102747496,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,19800.65799829421,26802.212376863725,102135.01553416614,55532.145159008294,28,12,181,141,ZWE,2002288.9759910344,2650821.2498412956,1565829.941415834,1978361.7018572867,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.0,0.0,0.0,0.0,0,0,0,0,118,199238.59336874602,336068.9408157194,154434.02472391177,296475.3073097389,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,0.0,0.0,0.0,0,0,0,0,129,394236.051385232,613234.3433644789,299445.86360945844,491167.7982359131,"{""type"":""MultiPoint"",""coordinates"":[]}"
